BlueTeam,RedTeam,Winner,GoldDifference,BlueTowers,BlueInhibitors,BlueDragons,BlueHerald,BlueBaron,RedTowers,RedInhibitors,RedDragons,RedHerald,RedBaron,BlueTop,BlueJungle,BlueMid,BlueADC,BlueSupport,RedTop,RedJungle,RedMid,RedADC,RedSupport
CLG,C9,blueTeam,371,4,0,1,No,No,3,0,1,No,Yes,Renekton,Gragas,Orianna,Xayah,Rakan,JarvanIV,LeeSin,Syndra,Varus,Lulu
IMT,P1,redTeam,-897,3,0,1,Yes,No,3,0,2,No,No,JarvanIV,Elise,Orianna,Caitlyn,Lulu,Shen,Khazix,Ahri,Varus,Karma
IMT,P1,blueTeam,11538,7,0,0,No,No,0,0,2,No,No,Shen,Gragas,Orianna,Caitlyn,Karma,Kled,Elise,Taliyah,KogMaw,Lulu
CLG,TL,blueTeam,3008,7,1,2,Yes,No,2,0,0,No,No,Shen,Elise,Ahri,Caitlyn,Bard,Fiora,Rengar,Orianna,Jhin,Rakan
TL,CLG,redTeam,-4925,2,0,0,Yes,No,5,1,3,No,No,Renekton,Elise,Ahri,Twitch,Karma,Gragas,Ivern,Syndra,Caitlyn,Nami
C9,TSM,redTeam,3848,4,0,1,No,Yes,1,0,1,Yes,No,Gragas,Olaf,Ekko,Xayah,Rakan,Kennen,LeeSin,Syndra,Ashe,TahmKench
DIG,NV,blueTeam,1934,3,0,2,No,Yes,2,0,0,Yes,No,Shen,Rengar,Orianna,Twitch,Thresh,Jayce,Ivern,Syndra,Xayah,Rakan
IMT,TSM,blueTeam,3044,4,0,1,No,No,2,0,0,No,No,Shen,LeeSin,Ahri,Varus,Bard,Fiora,Olaf,Galio,Ashe,Zyra
TSM,IMT,redTeam,1045,3,0,1,Yes,No,1,0,1,No,No,Rumble,LeeSin,Galio,Caitlyn,Lulu,Renekton,Gragas,Syndra,Varus,Karma
NV,P1,blueTeam,2680,1,0,1,No,No,1,0,1,No,No,Shen,Nidalee,Taliyah,Ashe,Karma,JarvanIV,Elise,Orianna,Varus,Zyra
P1,NV,blueTeam,-3830,1,0,0,Yes,No,3,0,1,No,No,Shen,Ivern,Leblanc,Twitch,Lulu,Rumble,Zac,Taliyah,Xayah,Rakan
NV,P1,blueTeam,6155,4,0,2,Yes,No,1,0,0,No,No,Jayce,LeeSin,Ahri,Caitlyn,Zyra,Galio,Nunu,Syndra,KogMaw,Lulu
FLY,DIG,redTeam,-4572,3,0,0,No,No,6,0,2,Yes,No,Kennen,Olaf,Orianna,Varus,Lulu,Lucian,Ivern,Syndra,Ashe,Zyra
DIG,FLY,blueTeam,2653,5,0,2,Yes,Yes,3,0,1,No,No,Fiora,LeeSin,Orianna,Ashe,Karma,Shen,Gragas,Syndra,Varus,Lulu
TL,FOX,redTeam,-9199,2,0,0,No,No,7,1,3,Yes,Yes,Shen,Khazix,Syndra,KogMaw,Lulu,Galio,Elise,Ekko,Varus,Karma
P1,C9,redTeam,-10059,0,0,0,Yes,No,6,0,2,No,Yes,Gragas,Khazix,Ahri,Xayah,Karma,JarvanIV,Olaf,Orianna,Kennen,Thresh
C9,P1,blueTeam,-476,3,0,1,No,No,3,0,1,Yes,Yes,Renekton,Zac,Cassiopeia,Xayah,Rakan,Jayce,Gragas,Taliyah,Kalista,Thresh
